nome;codigo_barras;categoria;preco;estoque;estoque_minimo;tipo;unidade
BESILATO DE ANLODIPINO 5 MG;7896112413790;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896112477204;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896112477938;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181900658;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181900795;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181901747;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181906209;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181917960;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181927846;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896181929246;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896422505789;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896523213569;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896523213644;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896658040313;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896676411584;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896714211305;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896714234212;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896714295657;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7897406120370;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7897595601780;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7897595631770;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7897595635112;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7897595636010;HIPERTENSÃO;1,00;10;1;unidade;un
